FlashID,GPSstart,SUBstart,GPSend,SUBend,lat,lon,alt,roll,peak,energy,meanBG,MaxPixNum,FOVlat1,FOVlon1,FOVlat2,FOVlon2,FOVlat3,FOVlon3,FOVlat4,FOVlon4
591,1179039681,0.044307,1179039681,0.045077,33.963614,-98.162725,19753,0.0,0.002008,6.035e-07,0.0336797,4,34.063899,-98.14751,33.976067,-98.283055,33.863647,-98.177155,33.951479,-98.04161
592,1179039685,0.227378,1179039685,0.514288,33.957215,-98.167285,19749,-1.0,0.004298,1.911e-06,0.0336797,4,34.060228,-98.152891,33.970873,-98.290776,33.859982,-98.182515,33.946271,-98.049362
593,1179039702,0.981988,1179039702,0.982368,33.928099,-98.187546,19745,-1.0,0.000325,5.88e-08,0.0336797,2,34.031107,-98.173134,33.941776,-98.310936,33.830914,-98.20274,33.91718,-98.069667
594,1179039705,0.971576,1179039705,0.972066,33.923199,-98.190873,19745,-1.0,0.000631,1.488e-07,0.0336797,2,34.026205,-98.176672,33.936875,-98.314463,33.826015,-98.206276,33.91228,-98.073213
595,1179039722,0.772331,1179039722,0.792851,33.896945,-98.208606,19738,-1.0,0.001925,2.1912e-06,0.0336797,2,33.999893,-98.194318,33.910617,-98.331982,33.799824,-98.223894,33.886037,-98.090953
596,1179039739,0.590298,1179039739,0.970421,33.868919,-98.227438,19743,-1.0,0.056154,6.907e-05,0.0336797,12,33.971934,-98.213247,33.8826,-98.350957,33.771735,-98.242833,33.858004,-98.109849
597,1179039755,0.578983,1179039755,0.977465,33.842391,-98.245248,19745,1.0,0.020503,2.48644e-05,0.0336797,10,33.937652,-98.23089,33.85313,-98.365848,33.737001,-98.260552,33.828523,-98.12456
598,1179039762,0.132112,1179039762,0.280292,33.830735,-98.253198,19736,-1.0,0.003145,2.0933e-06,0.0336797,4,33.931215,-98.240102,33.843867,-98.379731,33.731054,-98.269689,33.81926,-98.138477
599,1179039788,0.167144,1179039788,0.258864,33.787326,-98.282968,19733,0.0,0.012517,7.1587e-06,0.0336797,6,33.885091,-98.269411,33.799226,-98.406513,33.684868,-98.29901,33.774657,-98.165597
600,1179039788,0.665104,1179039788,0.835004,33.787326,-98.282968,19733,0.0,0.002942,2.1331e-06,0.0336797,4,33.885091,-98.269411,33.799226,-98.406513,33.684868,-98.29901,33.774657,-98.165597
601,1179039817,0.830195,1179039818,0.373398,33.738846,-98.31651,19704,-1.0,0.001653,9.542e-07,0.0336797,4,33.844049,-98.300656,33.752985,-98.435805,33.644402,-98.330134,33.728501,-98.196014
602,1179039853,0.501535,1179039853,0.501975,33.679384,-98.357133,19733,-1.0,0.000641,1.154e-07,0.0336797,2,33.782465,-98.342769,33.693024,-98.480338,33.582027,-98.372325,33.668399,-98.239477
603,1179039908,0.383898,1179039908,0.384748,33.589412,-98.418644,19719,21.0,0.001718,6.96e-07,0.0336797,2,33.648503,-98.389606,33.580524,-98.494056,33.386906,-98.41726,33.53959,-98.182661
604,1179039908,0.732408,1179039908,0.948051,33.589412,-98.418644,19719,21.0,0.189407,0.0002059405,0.034546626,24,33.648503,-98.389606,33.580524,-98.494056,33.386906,-98.41726,33.53959,-98.182661
605,1179040026,0.634267,1179040027,0.0424,33.557323,-98.667363,19738,2.0,0.002489,1.64662e-05,0.034156533,11,33.604696,-98.567525,33.638072,-98.728157,33.50049,-98.775494,33.464699,-98.603237
606,1179040027,0.86867,1179040027,0.86961,33.557777,-98.669565,19739,2.0,0.000705,2.98e-07,0.0336797,2,33.605162,-98.569758,33.638545,-98.730427,33.500933,-98.777774,33.465135,-98.605478
