Data: time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
25800.072601483,33.65894975,-101.78884094,14169.58,0.71,-7.7,0x896
25800.500943677,31.83566242,-99.28427492,14156.7,1.92,17.5,0x96c
25800.511700837,32.61478079,-100.33765932,17278.75,0.07,14.2,0x626
25800.51807739,31.83813437,-99.27270958,13659.2,0.23,17.1,0x36e
25800.52192013,31.84303575,-99.28560202,12324.02,0.04,18.8,0xb6e
25800.522698182,31.85223674,-99.29102285,8462.64,0.3,11.5,0xb2a
25800.573075428,31.84665921,-99.29831756,9528.47,0.07,12.6,0xa2e
25800.573633212,31.82200155,-99.26326056,10030.4,0.89,13.2,0xa26
25801.060557628,31.83484172,-99.32585681,10299.52,0.04,13.1,0x32a
25801.090010045,31.85313358,-99.34256196,9374.74,1.09,12.5,0x32a
25801.416892343,33.53978455,-101.99034007,22472.45,0.01,1.1,0xa16
25801.731964593,36.32962609,-109.16630057,473788.15,0.68,27.1,0x91c
25801.794057443,33.13556418,-98.28824071,11989.84,0.09,21.5,0xbee
25801.79741094,33.13863298,-98.30085478,16287.07,0.1,15.8,0xa6a
25802.071696912,33.12349236,-98.27126188,22346.37,0.03,13.6,0xa2a
25802.777642496,31.12864152,-100.3433726,8900.05,0.22,14.2,0xb68
25802.835295158,31.09423949,-100.33824217,15416.25,0.04,18.0,0xb2a
25802.859576802,31.1671272,-100.34876342,15298.09,0.38,14.8,0xb2a
25803.070449351,31.08352114,-100.29083886,15433.99,0.52,19.3,0xb6e
25803.140638062,31.11537695,-100.33577488,11922.92,0.19,26.7,0xa6a
25803.141569206,33.48821171,-101.74267369,8355.91,0.19,-1.9,0x8a6
25803.447841872,33.73463287,-101.88320739,10940.87,0.18,1.9,0x496
25804.323004121,33.14096959,-98.31734788,18830.76,0.17,11.9,0xb2a
25804.38623731,26.6082969,-106.82504254,1366743.8,0.88,28.2,0xaa8
25804.434146842,33.54316296,-102.20965838,11195.32,0.32,-15.5,0x88e
25804.833725627,32.15542838,-98.50791285,10756.22,0.46,13.4,0x32a
25804.841636455,32.25914354,-98.73614052,11810.89,0.72,12.4,0x32a
25804.844696406,32.23336738,-98.6793706,12818.72,0.48,12.4,0xb2a
25805.0266728,33.57028688,-101.73804872,13549.53,0.22,-3.9,0x156
25805.133367862,34.22139945,-102.31313312,66877.58,1.17,6.3,0x994
25806.404342055,33.14757842,-98.30296296,14758.7,0.23,13.4,0xb2a
25806.408961979,31.29099791,-100.26244158,21787.42,1.78,17.0,0xb2a
25806.421793628,33.13896489,-98.38396948,10502.62,0.44,11.9,0xb2a
25806.489824245,31.30068262,-100.25767984,16092.05,0.04,13.8,0x22e
25806.497125467,33.1515015,-98.46385299,10736.39,1.34,11.2,0xa2a
25806.533525721,31.17807381,-100.11840358,32868.42,0.14,16.6,0xa2a
25806.594692,31.17694099,-100.31250819,17507.31,0.01,11.2,0xb2a
25806.640648145,31.27145677,-100.21172769,12289.37,0.08,14.8,0xb2e
25806.665086578,31.18080577,-100.30177619,16291.24,0.06,14.0,0xb2e
25806.720517085,31.35985825,-100.29410011,11379.05,0.01,9.5,0xa2a
25806.720862991,33.48530137,-101.71259708,47335.4,0.11,-3.7,0x926
25806.772114101,31.26053145,-100.20357703,12261.21,0.4,11.3,0xb2a
25806.800033257,31.18145329,-100.31523209,18026.3,0.15,9.4,0xa2a
25806.803223741,31.17718711,-100.32111465,13514.82,0.03,16.3,0xb6e
25806.838304432,31.17478126,-100.2794519,18204.17,0.44,11.4,0xb0a
25806.878685535,31.25095344,-100.32177606,20589.0,0.02,8.3,0xa2a
25806.942228459,31.34091665,-100.34988409,31421.05,1.03,14.8,0x96a
25807.125108142,31.17986835,-100.28909498,23341.6,0.0,8.9,0xa2a
25807.125567513,33.14544875,-102.01190663,24051.71,0.0,-3.7,0xa1a
25807.363661401,31.28936669,-100.32740896,18883.18,0.0,8.1,0xa2a
25807.726436832,33.71012926,-101.79498302,32070.87,0.99,-4.4,0xab0
25808.293674026,31.42279939,-100.21627666,13072.17,0.54,21.9,0xb6e
25808.316918719,31.63195249,-100.34666623,35755.89,0.53,11.8,0x86e
25808.334736852,31.36704101,-100.13138012,13750.56,0.04,13.4,0xb26
25808.340443501,31.43493356,-100.17952092,8644.48,0.08,8.5,0xa2a
25808.352101871,31.39350916,-100.23341786,8656.46,0.19,15.8,0xb2a
25808.414697429,31.43927693,-100.21314699,16475.19,0.07,10.6,0xb2a
25808.430692016,31.47678035,-100.22311327,7469.52,0.71,9.9,0x32a
25808.494403034,31.43021141,-100.16441845,14675.0,0.0,10.8,0xa2a
25808.496162287,31.51110583,-100.14692756,14584.18,1.08,11.9,0x32a
25808.515652637,31.46390525,-100.20285687,13239.06,0.08,7.4,0xa2a
25808.518401202,32.74752263,-102.94940783,246221.65,1.8,10.0,0x8aa
25808.524629132,31.54720856,-100.20681261,7562.65,0.0,10.4,0xa2e
25808.552086117,33.53116426,-102.07029997,7144.57,0.19,-6.9,0x84e
25808.556994185,31.53776633,-100.09659784,13538.17,0.2,10.1,0xb22
25808.557721027,31.59756161,-100.14271075,9684.8,0.18,12.3,0xb2a
25808.580089461,30.14076671,-98.98652918,109831.43,0.81,14.9,0x3a8
25808.591286269,31.62098959,-100.17278751,10633.95,0.0,7.4,0xa2a
25808.613525789,31.61501608,-100.1869829,14188.97,0.16,8.3,0xa2a
25808.626228511,31.6432977,-100.20009512,14973.96,1.22,11.6,0xb2a
25808.635203799,33.7989749,-101.75681492,2865.2,0.74,-15.2,0xa2a
25808.64413632,31.65922777,-100.14049311,13568.12,0.26,15.5,0xb2a
25808.6452695,31.65131785,-100.09621572,6812.53,0.21,10.8,0x32a
25808.670445649,31.67445291,-100.14454648,8818.75,0.16,11.8,0xb2a
25808.694266664,31.7070553,-100.16181321,12868.74,0.03,9.4,0x32a
25808.723906186,31.35207998,-100.10623507,9389.43,0.17,9.4,0x32a
25808.730751727,31.75423647,-100.19247252,11278.23,0.15,8.4,0xa2a
25808.77288232,31.32183392,-100.06527391,11814.4,0.33,8.3,0xa2a
25809.460700042,31.81609503,-99.30920331,14383.05,0.56,21.3,0xb2a
25809.487458703,31.90958603,-99.40597559,7806.88,0.58,14.2,0x22e
25809.515857659,31.85330281,-99.31224203,8489.23,0.19,16.0,0x82e
25809.522222244,31.84635442,-99.30543112,14619.39,0.19,12.1,0xb2a
25809.555442592,31.77627028,-99.19206536,13790.63,1.76,12.0,0xb2a
25809.560054719,31.83695757,-99.26886598,14626.91,0.44,14.8,0xb2a
25809.577722126,31.86299094,-99.29575562,20375.75,0.82,13.1,0xb2a
25809.646314586,31.87646166,-99.26778331,12892.39,0.31,16.4,0xb6e
25809.652305215,31.83036103,-99.28651224,8752.59,0.53,14.2,0x32e
25809.666683646,31.18465907,-100.23626633,17178.07,0.0,8.5,0xa2a
25809.709007987,31.88460286,-99.25177758,10251.75,0.88,10.8,0x32a
25809.753423017,33.17630396,-98.29622213,12426.3,0.33,16.0,0xa6a
25809.793587371,31.9511017,-99.46095007,7600.0,1.2,19.5,0x86e
25809.890145853,31.09321384,-100.18683237,21286.92,0.02,9.1,0xb2a
25810.934862974,33.50821355,-102.23399945,18369.96,0.62,-8.3,0xa64
25811.677304152,31.30520243,-100.41658814,10128.76,0.01,9.4,0xa2a
25811.855093751,31.20286221,-100.36762952,14126.38,0.16,10.6,0xb2a
25812.187002334,33.82766742,-101.85558773,26314.15,0.0,-3.2,0x9a4
25812.509142965,33.28304718,-101.90632717,45044.39,1.26,-2.5,0x82e
25812.543002332,33.61189761,-101.90642736,52721.23,0.14,-3.4,0x8e8
25812.651578522,31.23410443,-100.25029014,18947.51,0.15,12.6,0xb2a
25812.652925067,31.24075852,-100.25685485,18029.08,0.15,10.6,0xb2a
25812.851533459,33.88068631,-102.16926733,14812.03,0.47,1.1,0xaa4
25813.943385571,33.16059581,-98.33487812,10407.09,0.54,12.0,0x32a
25813.965591571,31.48136948,-100.2875022,17558.28,0.25,9.4,0xb2a
25813.96958585,31.49157593,-100.29765572,8366.16,0.53,11.6,0xb0e
25814.011081056,31.5101036,-100.2868887,11207.43,1.03,13.6,0xb6a
25814.013258905,31.55397237,-100.26399344,11946.85,0.37,10.5,0xb2a
25814.013475483,31.56387071,-100.26961034,10600.45,1.08,12.6,0xb2a
25814.019888229,31.45125413,-100.23915797,14304.51,0.0,10.5,0x32a
25814.028791758,31.5265272,-100.31317005,10613.62,0.29,11.7,0xb2a
25814.03435403,31.55237944,-100.33409807,8503.46,0.4,11.4,0xa2e
25814.044972461,31.51692472,-100.31482742,12188.62,0.32,16.0,0xb6a
25814.066378433,31.51598794,-100.32361053,10307.59,0.27,14.3,0xb2a
